AE,1000
AK,443337
AL,5546813
AP,1000
AR,8297672
AS,13200
AZ,16668298
CA,85535735
CO,18201493
CT,10649862
DC,17203054
DE,664452
FL,42108679
GA,16323986
GU,11650
HI,4090120
IA,5192596
ID,1380515
IL,37494737
IN,8858881
KS,6421237
KY,4647325
LA,8898102
MA,22949816
MD,12575389
ME,2141666
MI,22853800
MN,10870318
MO,8153885
MP,5500
MS,2646704
MT,3474959
NC,10130780
ND,1944628
NE,473090
NH,3903927
NJ,14605666
NM,4821576
NV,6499390
NY,59805162
OH,18700623
OK,9595861
OR,3574679
PA,19851064
PR,892518
RI,1782786
SC,5552104
SD,2323341
TN,9001880
TX,45192443
UT,3201207
VA,28526115
VI,125692
VT,690362
WA,10658454
WI,5696305
WV,3905407
WY,824382
ZZ,39550
nan,486720
